date,ccy_pair,base_ccy,quote_ccy,spot_rate,source
2026-07-03,USDJPY,USD,JPY,149.1,FXFEED
2026-07-06,USDJPY,USD,JPY,149.0199,FXFEED
2026-07-07,USDJPY,USD,JPY,149.1188,FXFEED
2026-07-08,USDJPY,USD,JPY,149.0626,FXFEED
2026-07-09,USDJPY,USD,JPY,149.159,FXFEED
2026-07-10,USDJPY,USD,JPY,149.3961,FXFEED
2026-07-13,USDJPY,USD,JPY,149.458,FXFEED
2026-07-14,USDJPY,USD,JPY,149.34,FXFEED
2026-07-15,USDJPY,USD,JPY,149.1005,FXFEED
2026-07-16,USDJPY,USD,JPY,149.3493,FXFEED
2026-07-17,USDJPY,USD,JPY,149.1777,FXFEED
2026-07-20,USDJPY,USD,JPY,149.4328,FXFEED
2026-07-21,USDJPY,USD,JPY,149.4607,FXFEED
2026-07-22,USDJPY,USD,JPY,149.1364,FXFEED
2026-07-23,USDJPY,USD,JPY,149.4792,FXFEED
2026-07-24,USDJPY,USD,JPY,149.5043,FXFEED
2026-07-27,USDJPY,USD,JPY,149.2882,FXFEED
2026-07-28,USDJPY,USD,JPY,149.4056,FXFEED
2026-07-29,USDJPY,USD,JPY,149.8224,FXFEED
2026-07-30,USDJPY,USD,JPY,149.7105,FXFEED
2026-07-31,USDJPY,USD,JPY,149.5678,FXFEED
2026-08-03,USDJPY,USD,JPY,149.6778,FXFEED
2026-08-04,USDJPY,USD,JPY,149.7743,FXFEED
2026-08-05,USDJPY,USD,JPY,150.1322,FXFEED
2026-07-03,USDSGD,USD,SGD,1.3412,FXFEED
2026-07-06,USDSGD,USD,SGD,1.3435,FXFEED
2026-07-07,USDSGD,USD,SGD,1.3405,FXFEED
2026-07-08,USDSGD,USD,SGD,1.3441,FXFEED
2026-07-09,USDSGD,USD,SGD,1.3461,FXFEED
2026-07-10,USDSGD,USD,SGD,1.3454,FXFEED
2026-07-13,USDSGD,USD,SGD,1.3448,FXFEED
2026-07-14,USDSGD,USD,SGD,1.3453,FXFEED
2026-07-15,USDSGD,USD,SGD,1.3475,FXFEED
2026-07-16,USDSGD,USD,SGD,1.3456,FXFEED
2026-07-17,USDSGD,USD,SGD,1.3453,FXFEED
2026-07-20,USDSGD,USD,SGD,1.3425,FXFEED
2026-07-21,USDSGD,USD,SGD,1.3432,FXFEED
2026-07-22,USDSGD,USD,SGD,1.3446,FXFEED
2026-07-23,USDSGD,USD,SGD,1.3478,FXFEED
2026-07-24,USDSGD,USD,SGD,1.3463,FXFEED
2026-07-27,USDSGD,USD,SGD,1.3514,FXFEED
2026-07-28,USDSGD,USD,SGD,1.3529,FXFEED
2026-07-29,USDSGD,USD,SGD,1.3525,FXFEED
2026-07-30,USDSGD,USD,SGD,1.3544,FXFEED
2026-07-31,USDSGD,USD,SGD,1.3568,FXFEED
2026-08-03,USDSGD,USD,SGD,1.3574,FXFEED
2026-08-04,USDSGD,USD,SGD,1.3588,FXFEED
2026-08-05,USDSGD,USD,SGD,1.3592,FXFEED
2026-07-03,EURUSD,EUR,USD,1.0871,FXFEED
2026-07-06,EURUSD,EUR,USD,1.0866,FXFEED
2026-07-07,EURUSD,EUR,USD,1.0868,FXFEED
2026-07-08,EURUSD,EUR,USD,1.0873,FXFEED
2026-07-09,EURUSD,EUR,USD,1.0867,FXFEED
2026-07-10,EURUSD,EUR,USD,1.0856,FXFEED
2026-07-13,EURUSD,EUR,USD,1.0834,FXFEED
2026-07-14,EURUSD,EUR,USD,1.0841,FXFEED
2026-07-15,EURUSD,EUR,USD,1.0843,FXFEED
2026-07-16,EURUSD,EUR,USD,1.0845,FXFEED
2026-07-17,EURUSD,EUR,USD,1.082,FXFEED
2026-07-20,EURUSD,EUR,USD,1.0839,FXFEED
2026-07-21,EURUSD,EUR,USD,1.0841,FXFEED
2026-07-22,EURUSD,EUR,USD,1.087,FXFEED
2026-07-23,EURUSD,EUR,USD,1.0883,FXFEED
2026-07-24,EURUSD,EUR,USD,1.0875,FXFEED
2026-07-27,EURUSD,EUR,USD,1.0872,FXFEED
2026-07-28,EURUSD,EUR,USD,1.0887,FXFEED
2026-07-29,EURUSD,EUR,USD,1.0926,FXFEED
2026-07-30,EURUSD,EUR,USD,1.0942,FXFEED
2026-07-31,EURUSD,EUR,USD,1.0928,FXFEED
2026-08-03,EURUSD,EUR,USD,1.0923,FXFEED
2026-08-04,EURUSD,EUR,USD,1.092,FXFEED
2026-08-05,EURUSD,EUR,USD,1.0886,FXFEED
2026-07-03,AUDUSD,AUD,USD,0.6633,FXFEED
2026-07-06,AUDUSD,AUD,USD,0.6611,FXFEED
2026-07-07,AUDUSD,AUD,USD,0.6628,FXFEED
2026-07-08,AUDUSD,AUD,USD,0.6624,FXFEED
2026-07-09,AUDUSD,AUD,USD,0.6626,FXFEED
2026-07-10,AUDUSD,AUD,USD,0.6625,FXFEED
2026-07-13,AUDUSD,AUD,USD,0.6636,FXFEED
2026-07-14,AUDUSD,AUD,USD,0.664,FXFEED
2026-07-15,AUDUSD,AUD,USD,0.6654,FXFEED
2026-07-16,AUDUSD,AUD,USD,0.6649,FXFEED
2026-07-17,AUDUSD,AUD,USD,0.6645,FXFEED
2026-07-20,AUDUSD,AUD,USD,0.666,FXFEED
2026-07-21,AUDUSD,AUD,USD,0.6669,FXFEED
2026-07-22,AUDUSD,AUD,USD,0.6677,FXFEED
2026-07-23,AUDUSD,AUD,USD,0.6689,FXFEED
2026-07-24,AUDUSD,AUD,USD,0.6682,FXFEED
2026-07-27,AUDUSD,AUD,USD,0.6661,FXFEED
2026-07-28,AUDUSD,AUD,USD,0.6643,FXFEED
2026-07-29,AUDUSD,AUD,USD,0.6652,FXFEED
2026-07-30,AUDUSD,AUD,USD,0.664,FXFEED
2026-07-31,AUDUSD,AUD,USD,0.6628,FXFEED
2026-08-03,AUDUSD,AUD,USD,0.6627,FXFEED
2026-08-04,AUDUSD,AUD,USD,0.6627,FXFEED
2026-08-05,AUDUSD,AUD,USD,0.6638,FXFEED
