date,instrument_id,instrument_description,asset_class,price,yield_pct,spread_bps,implied_vol_pct,px_bid,px_ask,px_mid,price_type,source,last_update_utc
2026-07-03,JPY-IRS-2Y,JPY IRS 2Y,RATES,,0.42,,,0.4199,0.4201,0.42,PAR_RATE,PRICING_LIB,2026-07-03T09:05:00Z
2026-07-06,JPY-IRS-2Y,JPY IRS 2Y,RATES,,0.4023,,,0.4022,0.4024,0.4023,PAR_RATE,PRICING_LIB,2026-07-06T09:05:00Z
2026-07-07,JPY-IRS-2Y,JPY IRS 2Y,RATES,,0.4045,,,0.4044,0.4046,0.4045,PAR_RATE,PRICING_LIB,2026-07-07T09:05:00Z
2026-07-08,JPY-IRS-2Y,JPY IRS 2Y,RATES,,0.4243,,,0.4242,0.4244,0.4243,PAR_RATE,PRICING_LIB,2026-07-08T09:05:00Z
2026-07-09,JPY-IRS-2Y,JPY IRS 2Y,RATES,,0.4454,,,0.4453,0.4455,0.4454,PAR_RATE,PRICING_LIB,2026-07-09T09:05:00Z
2026-07-10,JPY-IRS-2Y,JPY IRS 2Y,RATES,,0.4549,,,0.4548,0.455,0.4549,PAR_RATE,PRICING_LIB,2026-07-10T09:05:00Z
2026-07-13,JPY-IRS-2Y,JPY IRS 2Y,RATES,,0.4684,,,0.4683,0.4685,0.4684,PAR_RATE,PRICING_LIB,2026-07-13T09:05:00Z
2026-07-14,JPY-IRS-2Y,JPY IRS 2Y,RATES,,0.4676,,,0.4675,0.4677,0.4676,PAR_RATE,PRICING_LIB,2026-07-14T09:05:00Z
2026-07-15,JPY-IRS-2Y,JPY IRS 2Y,RATES,,0.4906,,,0.4905,0.4907,0.4906,PAR_RATE,PRICING_LIB,2026-07-15T09:05:00Z
2026-07-16,JPY-IRS-2Y,JPY IRS 2Y,RATES,,0.4906,,,0.4905,0.4907,0.4906,PAR_RATE,PRICING_LIB,2026-07-16T09:05:00Z
2026-07-17,JPY-IRS-2Y,JPY IRS 2Y,RATES,,0.4821,,,0.482,0.4822,0.4821,PAR_RATE,PRICING_LIB,2026-07-17T09:05:00Z
2026-07-20,JPY-IRS-2Y,JPY IRS 2Y,RATES,,0.4637,,,0.4636,0.4638,0.4637,PAR_RATE,PRICING_LIB,2026-07-20T09:05:00Z
