as_of_date,trade_id,book_id,instrument_id,risk_metric,value,ccy,value_usd,unit,computation_timestamp,notes
2026-08-05,DEM-001,RATES-DEMO-01,JPY-IRS-2Y,DV01,-767693.36,JPY,-5113.45,amount,2026-08-05T06:30:00Z,
2026-08-05,DEM-001,RATES-DEMO-01,JPY-IRS-2Y,Duration,1.7657,JPY,0.01,years,2026-08-05T06:30:00Z,
2026-08-05,DEM-002,RATES-DEMO-01,JPY-IRS-5Y,DV01,2953593.43,JPY,19673.28,amount,2026-08-05T06:30:00Z,
2026-08-05,DEM-002,RATES-DEMO-01,JPY-IRS-5Y,Duration,4.5288,JPY,0.03,years,2026-08-05T06:30:00Z,
2026-08-05,DEM-003,RATES-DEMO-01,JPY-IRS-10Y,DV01,2979055.44,JPY,19842.88,amount,2026-08-05T06:30:00Z,
2026-08-05,DEM-003,RATES-DEMO-01,JPY-IRS-10Y,Duration,9.1358,JPY,0.06,years,2026-08-05T06:30:00Z,
2026-08-05,DEM-004,RATES-DEMO-01,AUD-IRS-7Y,DV01,-138809.03,AUD,-92141.43,amount,2026-08-05T06:30:00Z,
2026-08-05,DEM-004,RATES-DEMO-01,AUD-IRS-7Y,Duration,6.3852,AUD,4.24,years,2026-08-05T06:30:00Z,
2026-08-05,DEM-005,RATES-DEMO-01,JGB-0.4-2031,DV01,1039835.73,JPY,6926.13,amount,2026-08-05T06:30:00Z,
2026-08-05,DEM-005,RATES-DEMO-01,JGB-0.4-2031,Duration,4.0669,JPY,0.03,years,2026-08-05T06:30:00Z,
2026-08-05,DEM-006,RATES-DEMO-01,JGB-1.2-2041,DV01,1633675.56,JPY,10881.58,amount,2026-08-05T06:30:00Z,
2026-08-05,DEM-006,RATES-DEMO-01,JGB-1.2-2041,Duration,13.3114,JPY,0.09,years,2026-08-05T06:30:00Z,
2026-08-05,DEM-007,RATES-DEMO-01,ACGB-3.0-2033,DV01,54354.83,AUD,36080.74,amount,2026-08-05T06:30:00Z,
2026-08-05,DEM-007,RATES-DEMO-01,ACGB-3.0-2033,Duration,5.9052,AUD,3.92,years,2026-08-05T06:30:00Z,
2026-08-05,DEM-008,RATES-DEMO-01,JGB-0.4-2031,DV01,-332747.43,JPY,-2216.36,amount,2026-08-05T06:30:00Z,
2026-08-05,DEM-008,RATES-DEMO-01,JGB-0.4-2031,Duration,4.0669,JPY,0.03,years,2026-08-05T06:30:00Z,
2026-08-05,DEM-009,CREDIT-DEMO-01,ORION-2.6-2029,DV01,1998.85,USD,1998.85,amount,2026-08-05T06:30:00Z,
2026-08-05,DEM-009,CREDIT-DEMO-01,ORION-2.6-2029,Duration,2.443,USD,2.44,years,2026-08-05T06:30:00Z,
2026-08-05,DEM-009,CREDIT-DEMO-01,ORION-2.6-2029,Spread01,1776.76,USD,1776.76,amount,2026-08-05T06:30:00Z,
2026-08-05,DEM-009,CREDIT-DEMO-01,ORION-2.6-2029,JTD_USD,-4800000.0,USD,-4800000.0,amount_usd,2026-08-05T06:30:00Z,
2026-08-05,DEM-010,CREDIT-DEMO-01,VERTEX-3.1-2028,DV01,1253.72,USD,1253.72,amount,2026-08-05T06:30:00Z,
2026-08-05,DEM-010,CREDIT-DEMO-01,VERTEX-3.1-2028,Duration,2.0431,USD,2.04,years,2026-08-05T06:30:00Z,
2026-08-05,DEM-010,CREDIT-DEMO-01,VERTEX-3.1-2028,Spread01,1114.41,USD,1114.41,amount,2026-08-05T06:30:00Z,
2026-08-05,DEM-010,CREDIT-DEMO-01,VERTEX-3.1-2028,JTD_USD,-3600000.0,USD,-3600000.0,amount_usd,2026-08-05T06:30:00Z,
2026-08-05,DEM-011,CREDIT-DEMO-01,KESTREL-4.0-2030,DV01,2889.61,SGD,2125.96,amount,2026-08-05T06:30:00Z,
2026-08-05,DEM-011,CREDIT-DEMO-01,KESTREL-4.0-2030,Duration,3.1393,SGD,2.31,years,2026-08-05T06:30:00Z,
2026-08-05,DEM-011,CREDIT-DEMO-01,KESTREL-4.0-2030,Spread01,2568.54,SGD,1889.74,amount,2026-08-05T06:30:00Z,
2026-08-05,DEM-011,CREDIT-DEMO-01,KESTREL-4.0-2030,JTD_USD,-3972925.25,USD,-3972925.25,amount_usd,2026-08-05T06:30:00Z,
2026-08-05,DEM-012,CREDIT-DEMO-01,ORION-2.6-2029,DV01,-749.57,USD,-749.57,amount,2026-08-05T06:30:00Z,
2026-08-05,DEM-012,CREDIT-DEMO-01,ORION-2.6-2029,Duration,2.443,USD,2.44,years,2026-08-05T06:30:00Z,
2026-08-05,DEM-012,CREDIT-DEMO-01,ORION-2.6-2029,Spread01,-666.28,USD,-666.28,amount,2026-08-05T06:30:00Z,
2026-08-05,DEM-012,CREDIT-DEMO-01,ORION-2.6-2029,JTD_USD,1800000.0,USD,1800000.0,amount_usd,2026-08-05T06:30:00Z,
2026-08-05,DEM-013,CREDIT-DEMO-01,CDS-ORION-5Y,CS01_USD,4600.0,USD,4600.0,amount_usd,2026-08-05T06:30:00Z,
2026-08-05,DEM-013,CREDIT-DEMO-01,CDS-ORION-5Y,JTD_USD,-5500000.0,USD,-5500000.0,amount_usd,2026-08-05T06:30:00Z,
2026-08-05,DEM-014,CREDIT-DEMO-01,CDS-VERTEX-5Y,CS01_USD,-2300.0,USD,-2300.0,amount_usd,2026-08-05T06:30:00Z,
2026-08-05,DEM-014,CREDIT-DEMO-01,CDS-VERTEX-5Y,JTD_USD,2750000.0,USD,2750000.0,amount_usd,2026-08-05T06:30:00Z,
2026-08-05,DEM-015,FX-DEMO-01,USDJPY,Delta_USD,12000000,USD,12000000,amount_usd,2026-08-05T06:30:00Z,
2026-08-05,DEM-016,FX-DEMO-01,USDJPY,Delta_USD,-9000000,USD,-9000000,amount_usd,2026-08-05T06:30:00Z,
2026-08-05,DEM-017,FX-DEMO-01,USDSGD,Delta_USD,7000000,USD,7000000,amount_usd,2026-08-05T06:30:00Z,
2026-08-05,DEM-018,FX-DEMO-01,USDJPY,Delta_USD,5000000,USD,5000000,amount_usd,2026-08-05T06:30:00Z,
2026-08-05,DEM-019,FX-DEMO-01,EURUSD,Delta_USD,4354400.0,USD,4354400.0,amount_usd,2026-08-05T06:30:00Z,
2026-08-05,DEM-020,FX-DEMO-01,AUDUSD,Delta_USD,-3982800.0,USD,-3982800.0,amount_usd,2026-08-05T06:30:00Z,
2026-08-05,DEM-021,EQD-DEMO-01,NKY-FUT-2026-12,Delta_USD,38027409.48,USD,38027409.48,amount_usd,2026-08-05T06:30:00Z,
2026-08-05,DEM-022,EQD-DEMO-01,NKY-FUT-2026-12,Delta_USD,-15210963.79,USD,-15210963.79,amount_usd,2026-08-05T06:30:00Z,
2026-08-05,DEM-023,EQD-DEMO-01,NKY-CALL-39000-2026-12,Delta_USD,452955.78,USD,452955.78,amount_usd,2026-08-05T06:30:00Z,
2026-08-05,DEM-023,EQD-DEMO-01,NKY-CALL-39000-2026-12,Vega_USD,272012.99,USD,272012.99,amount_usd,2026-08-05T06:30:00Z,
2026-08-05,DEM-023,EQD-DEMO-01,NKY-CALL-39000-2026-12,Theta_USD,-40801.95,USD,-40801.95,amount_usd,2026-08-05T06:30:00Z,
2026-08-05,DEM-023,EQD-DEMO-01,NKY-CALL-39000-2026-12,Gamma_USD,136006.5,USD,136006.5,amount_usd,2026-08-05T06:30:00Z,
2026-08-05,DEM-024,EQD-DEMO-01,NKY-PUT-37000-2026-12,Delta_USD,212086.31,USD,212086.31,amount_usd,2026-08-05T06:30:00Z,
2026-08-05,DEM-024,EQD-DEMO-01,NKY-PUT-37000-2026-12,Vega_USD,127363.94,USD,127363.94,amount_usd,2026-08-05T06:30:00Z,
2026-08-05,DEM-024,EQD-DEMO-01,NKY-PUT-37000-2026-12,Theta_USD,-19104.59,USD,-19104.59,amount_usd,2026-08-05T06:30:00Z,
2026-08-05,DEM-024,EQD-DEMO-01,NKY-PUT-37000-2026-12,Gamma_USD,63681.97,USD,63681.97,amount_usd,2026-08-05T06:30:00Z,
2026-08-05,DEM-025,EQD-DEMO-01,NKY-CALL-39000-2026-12,Delta_USD,-169858.42,USD,-169858.42,amount_usd,2026-08-05T06:30:00Z,
2026-08-05,DEM-025,EQD-DEMO-01,NKY-CALL-39000-2026-12,Vega_USD,102004.87,USD,102004.87,amount_usd,2026-08-05T06:30:00Z,
2026-08-05,DEM-025,EQD-DEMO-01,NKY-CALL-39000-2026-12,Theta_USD,-15300.73,USD,-15300.73,amount_usd,2026-08-05T06:30:00Z,
2026-08-05,DEM-025,EQD-DEMO-01,NKY-CALL-39000-2026-12,Gamma_USD,51002.44,USD,51002.44,amount_usd,2026-08-05T06:30:00Z,
